No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,gr,9,
11,Brook Lopez,C,7-0,282,April 1 1988,us,14,Stanford
21,Jrue Holiday,PG,6-3,205,June 12 1990,us,13,UCLA
9,Bobby Portis,PF,6-10,250,February 10 1995,us,7,Arkansas
12,Grayson Allen,SG,6-4,198,October 8 1995,us,4,Duke
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,2,Louisville
3,George Hill,PG,6-4,188,May 4 1986,us,14,IUPUI
25,Serge Ibaka,PF,6-10,235,September 18 1989,cg,13,
23,Wesley Matthews,SG,6-4,220,October 14 1986,us,13,Marquette
5,Jevon Carter,PG,6-1,200,September 14 1995,us,4,West Virginia
0,MarJon Beauchamp,SF,6-6,199,October 12 2000,us,R,Yakima Valley Community College
43,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,gr,4,
20,AJ Green  (TW),SG,6-4,200,September 27 1999,us,R,University of Northern Iowa
,Khris Middleton,SF,6-7,222,August 12 1991,us,10,Texas A&M
,Pat Connaughton,SG,6-5,209,January 6 1993,us,7,Notre Dame
,Joe Ingles,SF,6-8,220,October 2 1987,au,8,
0,Jayson Tatum,SF,6-8,210,March 3 1998,us,5,Duke
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,6,California
13,Malcolm Brogdon,PG,6-5,229,December 11 1992,us,6,Virginia
9,Derrick White,SG,6-4,190,July 2 1994,us,5,Colorado-Colorado Springs Colorado
36,Marcus Smart,PG,6-3,220,March 6 1994,us,8,Oklahoma State
12,Grant Williams,PF,6-6,236,November 30 1998,us,3,Tennessee
30,Sam Hauser,PF,6-8,215,December 8 1997,us,1,Marquette Virginia
4,Noah Vonleh,PF,6-10,257,August 24 1995,us,7,Indiana
42,Al Horford,C,6-9,240,June 3 1986,do,15,Florida
91,Blake Griffin,PF,6-9,250,March 16 1989,us,12,Oklahoma
11,Payton Pritchard,SG,6-1,195,January 28 1998,us,2,Oregon
40,Luke Kornet,C,7-2,250,July 15 1995,us,5,Vanderbilt
43,Justin Jackson,SF,6-8,220,March 28 1995,us,5,UNC
,JD Davison  (TW),PG,6-3,195,October 3 2002,us,R,Alabama
,Danilo Gallinari,SF,6-10,233,August 8 1988,it,13,
,Mfiondu Kabengele  (TW),PF,6-9,250,August 14 1997,ca,2,Florida State
,Robert Williams,C,6-8,237,October 17 1997,us,4,Texas A&M
3,Bradley Beal,SG,6-4,207,June 28 1993,us,10,Florida
33,Kyle Kuzma,PF,6-9,221,July 24 1995,us,5,Utah
6,Kristaps Porziņģis,PF,7-3,240,August 2 1995,lv,6,
8,Rui Hachimura,PF,6-8,230,February 8 1998,jp,3,Gonzaga
22,Monte Morris,PG,6-2,183,June 27 1995,us,5,Iowa State
5,Will Barton,SG,6-6,181,January 6 1991,us,10,Memphis
55,Delon Wright,PG,6-5,185,April 26 1992,us,7,Utah
21,Daniel Gafford,PF,6-10,234,October 1 1998,us,3,Arkansas
9,Deni Avdija,SF,6-9,210,January 3 2001,il,2,
16,Anthony Gill,PF,6-7,230,October 17 1992,us,2,South Carolina Virginia
,Vernon Carey Jr.,C,6-9,270,February 25 2001,us,2,Duke
,Corey Kispert,SF,6-7,220,March 3 1999,us,1,Gonzaga
,Isaiah Todd,PF,6-10,220,October 17 2001,us,1,
,Johnny Davis,SG,6-5,196,February 27 2002,us,R,Wisconsin
,Taj Gibson,PF,6-9,232,June 24 1985,us,13,USC
,Jordan Goodwin  (TW),PG,6-3,200,October 23 1998,us,1,Saint Louis
11,Trae Young,PG,6-1,164,September 19 1998,us,4,Oklahoma
5,Dejounte Murray,PG,6-4,180,September 19 1996,us,5,Washington
20,John Collins,PF,6-9,235,September 23 1997,us,5,Wake Forest
12,De'Andre Hunter,SF,6-8,225,December 2 1997,us,3,Virginia
17,Onyeka Okongwu,C,6-8,235,December 11 2000,us,2,USC
15,Clint Capela,C,6-10,240,May 18 1994,ch,8,
8,Justin Holiday,SG,6-6,180,April 5 1989,us,9,Washington
1,Jalen Johnson,SF,6-9,220,December 18 2001,us,1,Duke
3,Aaron Holiday,PG,6-0,185,September 30 1996,us,4,UCLA
14,AJ Griffin,SF,6-6,222,August 25 2003,us,R,Duke
22,Tyrese Martin,SG,6-6,215,March 7 1999,us,R,Rhode Island UConn
27,Vit Krejci,PG,6-8,195,June 19 2000,cz,1,
2,Trent Forrest  (TW),PG,6-4,210,June 12 1998,us,2,Florida State
,Bogdan Bogdanović,SG,6-6,220,August 18 1992,rs,5,
,Frank Kaminsky,C,7-0,240,April 4 1993,us,7,Wisconsin
,Jarrett Culver  (TW),SG,6-6,195,February 20 1999,us,3,Texas Tech
30,Julius Randle,PF,6-8,250,November 29 1994,us,8,Kentucky
11,Jalen Brunson,PG,6-1,190,August 31 1996,us,4,Villanova
9,RJ Barrett,SG,6-6,214,June 14 2000,ca,3,Duke
0,Cam Reddish,SF,6-8,218,September 1 1999,us,3,Duke
13,Evan Fournier,SG,6-7,205,October 29 1992,fr,10,
55,Isaiah Hartenstein,C,7-0,250,May 5 1998,us,4,
1,Obi Toppin,PF,6-9,220,March 4 1998,us,2,Dayton
23,Mitchell Robinson,C,7-0,240,April 1 1998,us,4,Western Kentucky
5,Immanuel Quickley,PG,6-3,190,June 17 1999,us,2,Kentucky
4,Derrick Rose,PG,6-2,200,October 4 1988,us,13,Memphis
17,Svi Mykhailiuk,SF,6-7,205,June 10 1997,ua,4,Kansas
2,Miles McBride,PG,6-2,200,September 8 2000,us,1,West Virginia
45,Jericho Sims,C,6-10,245,October 20 1998,us,1,Texas
3,Trevor Keels  (TW),SG,6-5,221,August 26 2003,us,R,Duke
51,Ryan Arcidiacono,PG,6-3,195,March 26 1994,us,5,Villanova
,Quentin Grimes,SG,6-5,205,May 8 2000,us,1,Kansas Houston
45,Donovan Mitchell,SG,6-1,215,September 7 1996,us,5,Louisville
16,Cedi Osman,SF,6-7,230,April 8 1995,mk,5,
4,Evan Mobley,C,7-0,215,June 18 2001,us,1,USC
31,Jarrett Allen,C,6-11,243,April 21 1998,us,5,Texas
3,Caris LeVert,SG,6-6,205,August 25 1994,us,6,Michigan
0,Kevin Love,PF,6-8,251,September 7 1988,us,14,UCLA
32,Dean Wade,PF,6-9,228,November 20 1996,us,3,Kansas State
19,Raul Neto,PG,6-1,180,May 19 1992,br,7,
35,Isaac Okoro,SG,6-5,225,January 26 2001,us,2,Auburn
33,Robin Lopez,C,7-0,281,April 1 1988,us,14,Stanford
10,Darius Garland,PG,6-1,192,January 26 2000,us,3,Vanderbilt
15,Isaiah Mobley  (TW),PF,6-10,240,September 24 1999,us,R,USC
8,Lamar Stevens,PF,6-6,230,July 9 1997,us,2,Penn State
,Dylan Windler,SF,6-6,196,September 22 1996,us,2,Belmont
,Ricky Rubio,PG,6-2,190,October 21 1990,es,11,
,Mamadi Diakite  (TW),PF,6-9,228,January 21 1997,gn,2,Virginia
20,Gordon Hayward,SF,6-7,225,March 23 1990,us,12,Butler
12,Kelly Oubre Jr.,SF,6-7,203,December 9 1995,us,7,Kansas
4,Nick Richards,C,7-0,245,November 29 1997,jm,2,Kentucky
8,Dennis Smith Jr.,PG,6-2,205,November 25 1997,us,5,NC State
25,P.J. Washington,PF,6-7,230,August 23 1998,us,3,Kentucky
6,Jalen McDaniels,SF,6-9,205,January 31 1998,us,3,San Diego State
24,Mason Plumlee,C,6-11,254,March 5 1990,us,9,Duke
2,James Bouknight,SG,6-5,190,September 18 2000,us,1,UConn
3,Terry Rozier,PG,6-1,190,March 17 1994,us,7,Louisville
9,Théo Maledon  (TW),PG,6-4,175,June 12 2001,fr,2,
21,JT Thor,PF,6-10,205,August 26 2002,us,1,Auburn
5,Mark Williams,C,7-1,241,December 16 2001,us,R,Duke
23,Kai Jones,C,6-11,218,January 19 2001,bs,1,Texas
7,Bryce McGowens  (TW),SG,6-7,179,November 8 2002,us,R,Nebraska
11,Cody Martin,SF,6-5,205,September 28 1995,us,3,NC State Nevada
,LaMelo Ball,PG,6-7,180,August 22 2001,us,2,
43,Pascal Siakam,PF,6-9,230,April 2 1994,cm,6,New Mexico State
33,Gary Trent Jr.,SG,6-5,209,January 18 1999,us,4,Duke
23,Fred VanVleet,PG,6-1,197,February 25 1994,us,6,Wichita State
3,OG Anunoby,SF,6-7,232,July 17 1997,gb,5,Indiana
5,Precious Achiuwa,PF,6-8,225,September 19 1999,ng,2,Memphis
45,Dalano Banton,PG,6-9,204,November 7 1999,ca,1,Nebraska
35,Christian Koloko,C,7-1,230,June 20 2000,cm,R,Arizona
4,Scottie Barnes,SF,6-9,227,August 1 2001,us,1,Florida State
21,Thaddeus Young,PF,6-8,235,June 21 1988,us,15,Georgia Tech
22,Malachi Flynn,PG,6-1,175,May 10 1998,us,2,Washington State San Diego State
25,Chris Boucher,PF,6-9,200,January 11 1993,lc,5,Oregon
24,Khem Birch,C,6-9,233,September 28 1992,ca,5,Pitt UNLV
41,Juancho Hernangómez,PF,6-9,214,September 28 1995,es,6,
,Otto Porter Jr.,SF,6-8,198,June 3 1993,us,9,Georgetown
,Justin Champagnie,SF,6-6,200,June 29 2001,us,1,Pitt
,Ron Harper Jr.  (TW),SF,6-6,245,April 12 2000,us,R,Rutgers University
,Jeff Dowtin  (TW),PG,6-3,185,May 10 1997,us,1,Rhode Island
11,DeMar DeRozan,SG,6-6,220,August 7 1989,us,13,USC
9,Nikola Vučević,C,6-10,260,October 24 1990,ch,11,USC
12,Ayo Dosunmu,SG,6-5,200,January 17 2000,us,1,Illinois
7,Goran Dragić,PG,6-3,190,May 6 1986,si,14,
3,Andre Drummond,C,6-10,279,August 10 1993,us,10,UConn
0,Coby White,PG,6-5,195,February 16 2000,us,3,UNC
44,Patrick Williams,PF,6-7,215,August 26 2001,us,2,Florida State
6,Alex Caruso,PG,6-4,186,February 28 1994,us,5,Texas A&M
24,Javonte Green,SG,6-4,205,July 23 1993,us,3,Radford
8,Zach LaVine,SG,6-5,200,March 10 1995,us,8,UCLA
5,Derrick Jones Jr.,SF,6-5,210,February 15 1997,us,6,UNLV
13,Tony Bradley,C,6-10,248,January 8 1998,us,5,UNC
25,Dalen Terry,SG,6-7,195,July 12 2002,us,R,Arizona
19,Marko Simonovic,C,6-11,216,October 15 1999,me,1,
21,Malcolm Hill  (TW),SF,6-6,220,October 26 1995,us,1,Illinois
,Lonzo Ball,PG,6-6,190,October 27 1997,us,5,UCLA
,Kostas Antetokounmpo  (TW),PF,6-10,200,November 20 1997,gr,3,Dayton
7,Kevin Durant,SF,6-10,240,September 29 1988,us,14,Texas
11,Kyrie Irving,PG,6-2,195,March 23 1992,au,11,Duke
33,Nic Claxton,C,6-11,215,April 17 1999,us,3,Georgia
8,Patty Mills,PG,6-1,180,August 11 1988,au,13,Saint Mary's
00,Royce O'Neale,SF,6-4,226,June 5 1993,us,5,Denver Baylor
10,Ben Simmons,PG,6-10,240,July 20 1996,au,4,LSU
20,Day'Ron Sharpe,C,6-11,265,November 6 2001,us,1,UNC
12,Joe Harris,SG,6-6,220,September 6 1991,us,8,Virginia
4,Edmond Sumner,SG,6-4,196,December 31 1995,us,4,Xavier
13,Markieff Morris,PF,6-9,245,September 2 1989,us,11,Kansas
18,Yuta Watanabe,SF,6-9,215,October 13 1994,jp,4,George Washington
14,Kessler Edwards,SF,6-8,215,August 9 2000,us,1,Pepperdine
24,Cam Thomas,SG,6-4,210,October 13 2001,jp,1,LSU
,Alondes Williams  (TW),SG,6-5,210,June 19 1999,us,R,Triton College Oklahoma Wake Forest
,David Duke Jr.  (TW),SG,6-5,205,October 13 1999,us,1,Providence
,T.J. Warren,SF,6-8,220,September 5 1993,us,7,NC State
,Seth Curry,SG,6-2,185,August 23 1990,us,8,Liberty Duke
44,Bojan Bogdanović,SF,6-7,226,April 18 1989,ba,8,
2,Cade Cunningham,PG,6-6,220,September 25 2001,us,1,Oklahoma State
41,Saddiq Bey,SF,6-7,215,April 9 1999,us,2,Villanova
23,Jaden Ivey,SG,6-4,195,February 13 2002,us,R,Purdue
28,Isaiah Stewart,C,6-8,250,May 22 2001,us,2,Washington
0,Jalen Duren,C,6-10,250,November 18 2003,us,R,Memphis
18,Cory Joseph,PG,6-3,200,August 20 1991,ca,11,Texas
7,Killian Hayes,PG,6-5,195,July 27 2001,us,2,
6,Hamidou Diallo,SG,6-5,202,July 31 1998,us,4,Kentucky
20,Kevin Knox,SF,6-7,215,August 11 1999,us,4,Kentucky
12,Isaiah Livers,PF,6-7,230,July 28 1998,us,1,Michigan
17,Rodney McGruder,SG,6-4,205,July 29 1991,us,6,Kansas State
27,Buddy Boeheim  (TW),PG,6-6,205,November 11 1999,us,R,Syracuse
,Nerlens Noel,C,6-11,220,April 10 1994,us,8,Kentucky
,Alec Burks,SG,6-6,214,July 20 1991,us,11,Colorado
,Marvin Bagley III,PF,6-11,235,March 14 1999,us,4,Duke
21,Joel Embiid,C,7-0,280,March 16 1994,cm,6,Kansas
1,James Harden,SG,6-5,220,August 26 1989,us,13,Arizona State
0,Tyrese Maxey,SG,6-2,200,November 4 2000,us,2,Kentucky
12,Tobias Harris,PF,6-8,226,July 15 1992,us,11,Tennessee
8,De'Anthony Melton,PG,6-2,200,May 28 1998,us,4,USC
20,Georges Niang,PF,6-7,230,June 17 1993,us,6,Iowa State
17,P.J. Tucker,SF,6-5,245,May 5 1985,us,11,Texas
25,Danuel House Jr.,SF,6-6,220,June 7 1993,us,6,Texas A&M
5,Montrezl Harrell,C,6-7,240,January 26 1994,us,7,Louisville
22,Matisse Thybulle,SG,6-5,201,March 4 1997,us,3,Washington
44,Paul Reed,PF,6-9,210,June 14 1999,us,2,DePaul
11,Jaden Springer,PG,6-4,204,September 25 2002,us,1,Tennessee
18,Shake Milton,SG,6-5,205,September 26 1996,us,4,SMU
30,Furkan Korkmaz,SG,6-7,202,July 24 1997,tr,5,
,Julian Champagnie  (TW),SF,6-8,220,June 29 2001,us,R,St. John's
,Michael Foster Jr.  (TW),PF,6-8,250,January 16 2003,us,R,
0,Tyrese Haliburton,PG,6-5,185,February 29 2000,us,2,Iowa State
00,Bennedict Mathurin,SG,6-6,210,June 19 2002,ca,R,Arizona
25,Jalen Smith,PF,6-10,215,March 16 2000,us,2,Maryland
24,Buddy Hield,SG,6-4,220,December 17 1992,bs,6,Oklahoma
22,Isaiah Jackson,PF,6-10,206,January 10 2002,us,1,Kentucky
23,Aaron Nesmith,SF,6-5,215,October 16 1999,us,2,Vanderbilt
3,Chris Duarte,SF,6-6,190,June 13 1997,ca,1,Oregon
88,Goga Bitadze,C,6-11,250,July 20 1999,ge,3,
21,Terry Taylor,SG,6-5,230,September 23 1999,us,1,Austin Peay State University
9,T.J. McConnell,PG,6-1,190,March 25 1992,us,7,Duquesne Arizona
2,Andrew Nembhard,SG,6-5,193,January 16 2000,ca,R,Florida Gonzaga
12,Oshae Brissett,SF,6-7,210,June 20 1998,ca,3,Syracuse
16,James Johnson,PF,6-7,240,February 20 1987,us,13,Wake Forest
,Daniel Theis,C,6-8,245,April 4 1992,de,5,
,Myles Turner,C,6-11,250,March 24 1996,us,7,Texas
,Kendall Brown  (TW),SG,6-8,205,May 11 2003,us,R,Baylor
,Trevelin Queen  (TW),PG,6-6,190,February 25 1997,us,1,College of Marin New Mexico Military Institute New Mexico State
22,Jimmy Butler,SF,6-7,230,September 14 1989,us,11,Marquette
14,Tyler Herro,SG,6-5,195,January 20 2000,us,3,Kentucky
13,Bam Adebayo,C,6-9,255,July 18 1997,us,5,Kentucky
31,Max Strus,SF,6-5,215,March 28 1996,us,3,Lewis (IL) DePaul
7,Kyle Lowry,PG,6-0,196,March 25 1986,us,16,Villanova
2,Gabe Vincent,PG,6-3,200,June 14 1996,us,3,UC Santa Barbara
55,Duncan Robinson,SF,6-7,215,April 22 1994,us,4,Williams Michigan
21,Dewayne Dedmon,C,7-0,245,August 12 1989,us,9,USC
16,Caleb Martin,SF,6-5,205,September 28 1995,us,3,NC State Nevada
24,Haywood Highsmith,SF,6-7,220,December 9 1996,us,2,Wheeling University
,Omer Yurtseven,C,7-0,264,June 19 1998,tr,1,NC State Georgetown
,Nikola Jović,PF,6-10,209,June 9 2003,gb,R,
,Victor Oladipo,SG,6-4,213,May 4 1992,us,9,Indiana
,Udonis Haslem,PF,6-8,235,June 9 1980,us,19,Florida
,Jamal Cain  (TW),SF,6-7,191,March 20 1999,us,R,Marquette Oakland
,Dru Smith  (TW),SG,6-3,203,December 30 1997,us,R,University of Evansville Missouri
5,Paolo Banchero,SF,6-10,250,November 12 2002,us,R,Duke
31,Terrence Ross,SG,6-6,206,February 5 1991,us,10,Washington
22,Franz Wagner,SF,6-9,225,August 27 2001,de,1,Michigan
34,Wendell Carter Jr.,C,6-10,270,April 16 1999,us,4,Duke
10,Bol Bol,PF,7-2,220,November 16 1999,sd,3,Oregon
3,Chuma Okeke,PF,6-6,229,August 18 1998,us,2,Auburn
11,Mo Bamba,C,7-0,231,May 12 1998,us,4,Texas
13,R.J. Hampton,PG,6-4,175,February 7 2001,us,2,
50,Cole Anthony,PG,6-2,185,May 15 2000,us,2,UNC
4,Jalen Suggs,SG,6-4,205,June 3 2001,us,1,Gonzaga
2,Caleb Houstan,SF,6-8,205,January 9 2003,ca,R,Michigan
7,Kevon Harris  (TW),SG,6-6,216,June 24 1997,us,R,Stephen F. Austin
,Gary Harris,SG,6-4,210,September 14 1994,us,8,Michigan State
,Admiral Schofield  (TW),PF,6-5,241,March 30 1997,gb,2,Tennessee
,Moritz Wagner,C,6-11,245,April 26 1997,de,4,Michigan
,Jonathan Isaac,PF,6-11,230,October 3 1997,us,3,Florida State
,Markelle Fultz,SG,6-3,209,May 29 1998,us,5,Washington
0,Damian Lillard,PG,6-2,195,July 15 1990,us,10,Weber State
1,Anfernee Simons,SG,6-3,181,June 8 1999,us,4,
